latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
29.90622,75.96277,330.5,0.5,0.41,2025-11-01,746,N,VIIRS,l,2.0NRT,303.43,3.39,D
29.90912,77.87334,341.88,0.42,0.38,2025-11-01,746,N,VIIRS,n,2.0NRT,301.07,3.64,D
29.91256,77.87257,341.6,0.42,0.38,2025-11-01,746,N,VIIRS,n,2.0NRT,299.41,3.64,D
29.93143,75.99394,331.73,0.5,0.41,2025-11-01,746,N,VIIRS,l,2.0NRT,304.09,2.71,D
29.98193,76.76251,331.8,0.46,0.39,2025-11-01,746,N,VIIRS,n,2.0NRT,300.84,4.58,D
29.9895,75.82626,342.71,0.5,0.41,2025-11-01,746,N,VIIRS,n,2.0NRT,304.34,19.58,D
30.00345,76.08458,349.34,0.49,0.4,2025-11-01,746,N,VIIRS,n,2.0NRT,304.55,10.74,D
30.00713,76.08367,351.58,0.49,0.4,2025-11-01,746,N,VIIRS,n,2.0NRT,306.17,15.51,D
30.03516,76.76149,335.6,0.46,0.39,2025-11-01,746,N,VIIRS,n,2.0NRT,299.94,6.23,D
29.7423,74.42926,334.21,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.2,3.1,D
29.76714,74.36231,335.44,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,304.04,2.03,D
29.85033,74.76548,331.95,0.57,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,305.25,2.98,D
29.8518,74.76299,331.1,0.57,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,303.95,3.8,D
29.86585,74.3928,342.38,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,307.68,6.17,D
29.86906,74.38764,342.77,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,304.94,3.23,D
29.90727,74.41316,330.98,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,301.57,1.92,D
29.91887,74.93446,330.89,0.56,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,301.96,1.83,D
29.92704,74.61823,343.12,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.54,4.06,D
29.9279,74.61891,342.79,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,301.54,3.7,D
29.93402,74.50397,333.2,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,303.13,2.14,D
29.96308,73.09998,347.44,0.47,0.48,2025-11-01,748,N,VIIRS,n,2.0NRT,305.42,8.97,D
29.97522,73.07126,341.97,0.47,0.48,2025-11-01,748,N,VIIRS,n,2.0NRT,302.11,3.72,D
29.97553,73.13695,334.6,0.46,0.47,2025-11-01,748,N,VIIRS,n,2.0NRT,303.12,2.95,D
29.98079,75.53082,346.05,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,308.09,24.24,D
29.99071,73.12266,334.15,0.47,0.47,2025-11-01,748,N,VIIRS,n,2.0NRT,303.13,3.76,D
30.00262,75.62568,333.79,0.52,0.41,2025-11-01,748,N,VIIRS,l,2.0NRT,304.22,9.58,D
30.01676,75.10417,304.5,0.55,0.42,2025-11-01,748,N,VIIRS,l,2.0NRT,307.94,31.03,D
30.01787,75.10976,337.93,0.55,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,312.82,44.6,D
30.02215,75.00819,334.09,0.55,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,302.98,4.03,D
30.04137,74.87732,330.18,0.56,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,301.74,3.45,D
30.05769,76.06597,334.38,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,304.49,5.27,D
30.05991,74.45862,334.33,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,301.15,1.77,D
30.09924,75.70352,331.03,0.51,0.41,2025-11-01,748,N,VIIRS,l,2.0NRT,303.59,4.79,D
30.101,76.13412,336.02,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,303.93,4.41,D
30.10431,75.85441,335.26,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,305.32,3.4,D
30.11057,74.9416,331.41,0.55,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,302.3,3.07,D
30.14599,74.87241,333.68,0.56,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,302.46,2.11,D
30.15218,75.94439,344.12,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,304.1,5.69,D
30.15909,75.69208,345.28,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,304.7,7.39,D
30.16283,75.69114,337.13,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,303.67,7.39,D
30.16632,75.75031,334.07,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,302.84,3.64,D
30.16763,75.8817,347.92,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,305.86,12.03,D
30.16766,75.87962,347.2,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,305.49,13.48,D
30.16793,73.40243,343.15,0.45,0.47,2025-11-01,748,N,VIIRS,n,2.0NRT,303.5,10.93,D
30.17933,73.70957,336.2,0.43,0.46,2025-11-01,748,N,VIIRS,n,2.0NRT,301.28,3.36,D
30.1796,73.71169,334.12,0.43,0.46,2025-11-01,748,N,VIIRS,n,2.0NRT,300.86,2.14,D
30.1933,76.26942,339.36,0.48,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,304.14,4.8,D
30.19615,74.59476,336.21,0.38,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,303.1,2.26,D
30.19627,74.63714,332.22,0.57,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,301.48,5.08,D
30.19682,73.14556,341.73,0.46,0.47,2025-11-01,748,N,VIIRS,n,2.0NRT,304.76,3.66,D
30.19778,75.44683,334.07,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,302.45,2.96,D
30.19854,75.44337,333.07,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,301.41,3.38,D
30.20441,75.2345,346.6,0.53,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,303.06,7.27,D
30.21288,74.42299,333.28,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,301.66,1.56,D
30.21302,74.4268,335.79,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.5,2.68,D
30.22164,73.32606,339.45,0.45,0.47,2025-11-01,748,N,VIIRS,n,2.0NRT,303.13,7.17,D
30.23114,75.80463,341.06,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,303.3,4.13,D
30.24109,74.14412,342.67,0.4,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,303.38,5.53,D
30.24244,73.63408,350.79,0.43,0.46,2025-11-01,748,N,VIIRS,n,2.0NRT,305.53,11.12,D
30.2647,73.27511,330.3,0.45,0.47,2025-11-01,748,N,VIIRS,n,2.0NRT,302.77,2.45,D
30.29142,75.97414,334.68,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,304.09,9.23,D
30.29256,76.21709,333.08,0.48,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,303.71,3.73,D
30.29307,75.97114,347.09,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,303.19,7.03,D
30.30485,76.67568,332.79,0.46,0.39,2025-11-01,748,N,VIIRS,n,2.0NRT,299.53,3.89,D
30.32045,73.37154,335.18,0.44,0.46,2025-11-01,748,N,VIIRS,n,2.0NRT,302.94,2.78,D
30.32169,76.20994,337.43,0.48,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,303.18,4.89,D
30.32696,73.5322,330.31,0.43,0.46,2025-11-01,748,N,VIIRS,n,2.0NRT,302.05,2.89,D
30.32728,74.86909,333.47,0.55,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,303.32,7.34,D
30.32891,74.54353,330.31,0.38,0.43,2025-11-01,748,N,VIIRS,l,2.0NRT,301.34,5,D
30.33939,75.98345,333.39,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,302.35,4.44,D
30.36057,75.8075,333.11,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,301.87,1.9,D
30.38759,75.74384,334.3,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,303.35,4.6,D
30.40131,76.1721,332.39,0.48,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,300.19,4.7,D
