latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
30.2952,76.2271,2025-11-08,70,4.12,N,VIIRS,D,0.35240938667943034,Moderate
30.29618,73.758,2025-11-08,70,2.39,N,VIIRS,D,0.404585078543597,Moderate
30.30617,74.64275,2025-11-08,70,2.08,N,VIIRS,D,0.08973503736666852,Unburned / Recovered
30.31264,74.30432,2025-11-08,100,8.31,N,VIIRS,D,0.12936902235583048,Low
30.3185,75.12726,2025-11-08,70,8.54,N,VIIRS,D,0.50268358565176,High
30.3188,75.13232,2025-11-08,100,8.54,N,VIIRS,D,0.42271009299139295,Moderate
30.32329,75.10661,2025-11-08,70,9.12,N,VIIRS,D,0.4345677161559483,Moderate
30.34953,74.31787,2025-11-08,70,4.54,N,VIIRS,D,0.07927220265954533,Unburned / Recovered
30.3537,74.31457,2025-11-08,70,4.6,N,VIIRS,D,0.08232264356875975,Unburned / Recovered
30.35402,74.31909,2025-11-08,70,8.58,N,VIIRS,D,0.08929641176701365,Unburned / Recovered
30.35526,74.3174,2025-11-08,70,4.54,N,VIIRS,D,0.09094138920390539,Unburned / Recovered
30.38482,73.91349,2025-11-08,70,6.2,N,VIIRS,D,0.25952469122316707,Low
30.38512,73.91775,2025-11-08,100,6.2,N,VIIRS,D,0.4148773930204279,Moderate
30.41624,73.95814,2025-11-08,70,2.5,N,VIIRS,D,0.23645157039835007,Low
30.4192,73.95776,2025-11-08,70,1.82,N,VIIRS,D,0.22114895002051743,Low
30.42369,75.23654,2025-11-08,70,5.33,N,VIIRS,D,0.3333033160680295,Moderate
30.42384,74.93789,2025-11-08,100,6.42,N,VIIRS,D,0.08178605981071736,Unburned / Recovered
30.42466,76.10953,2025-11-08,70,3.56,N,VIIRS,D,0.5034540944103734,High
30.44217,75.67226,2025-11-08,70,5.65,N,VIIRS,D,0.4257325875773226,Moderate
30.45291,73.9548,2025-11-08,70,5.14,N,VIIRS,D,0.1402964062748556,Low
30.45679,76.06694,2025-11-08,70,5.41,N,VIIRS,D,0.37710736210801277,Moderate
30.45765,73.94143,2025-11-08,70,6.2,N,VIIRS,D,0.13430994130248827,Low
30.50008,75.00694,2025-11-08,70,15.26,N,VIIRS,D,0.48137730225537123,High
30.50041,75.01192,2025-11-08,100,15.26,N,VIIRS,D,0.4916041689390313,High
30.50239,75.0079,2025-11-08,100,17.86,N,VIIRS,D,0.48239220164544355,High
30.50269,75.01288,2025-11-08,100,17.86,N,VIIRS,D,0.4734088940195003,High
30.50773,74.79962,2025-11-08,100,8.07,N,VIIRS,D,0.0656372583723945,Unburned / Recovered
30.51876,74.69227,2025-11-08,70,3.15,N,VIIRS,D,0.07587042352277369,Unburned / Recovered
30.54511,74.13561,2025-11-08,70,4.98,N,VIIRS,D,0.19938291327524033,Low
30.54745,74.13668,2025-11-08,70,4.69,N,VIIRS,D,0.15825280538987543,Low
30.57019,76.90369,2025-11-08,70,2.33,N,VIIRS,D,-0.04650116716943489,Unburned / Recovered
30.58565,74.28198,2025-11-08,70,2.45,N,VIIRS,D,0.11937285393062003,Low
30.61491,75.03719,2025-11-08,70,3.59,N,VIIRS,D,0.35362053584326025,Moderate
30.62782,74.22409,2025-11-08,70,8.36,N,VIIRS,D,0.18903955964174676,Low
30.62813,74.22859,2025-11-08,70,11.41,N,VIIRS,D,0.10759388149152842,Low
30.6307,75.42049,2025-11-08,70,5.24,N,VIIRS,D,0.3038890024179834,Moderate
30.63408,75.05599,2025-11-08,70,3.27,N,VIIRS,D,0.45668589388165204,High
30.64008,75.05554,2025-11-08,70,4.49,N,VIIRS,D,0.4641985450930822,High
30.66377,74.50722,2025-11-08,70,5.5,N,VIIRS,D,0.05439538682069188,Unburned / Recovered
30.66446,74.50685,2025-11-08,70,5.26,N,VIIRS,D,0.060281968328045714,Unburned / Recovered
30.67173,75.49271,2025-11-08,70,1.76,N,VIIRS,D,0.36780235070112977,Moderate
30.6845,74.28297,2025-11-08,70,4.24,N,VIIRS,D,0.06357950796473716,Unburned / Recovered
30.68567,74.30117,2025-11-08,70,4.17,N,VIIRS,D,0.1629366571939233,Low
30.68726,74.41639,2025-11-08,70,4.52,N,VIIRS,D,0.11769645569708721,Low
30.68899,74.97128,2025-11-08,70,3.39,N,VIIRS,D,0.19519358517865398,Low
30.69549,75.69363,2025-11-08,70,5.42,N,VIIRS,D,0.2569568976457181,Low
30.69913,74.42007,2025-11-08,70,5.63,N,VIIRS,D,0.14833627024505214,Low
30.69942,74.42469,2025-11-08,70,8.3,N,VIIRS,D,0.1359666136555591,Low
30.70836,74.29471,2025-11-08,70,2.49,N,VIIRS,D,0.13916359632734424,Low
30.77691,74.45122,2025-11-08,70,4.18,N,VIIRS,D,0.09058086538743232,Unburned / Recovered
