latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
30.30966,73.40121,2025-11-03,70,15.91,N,VIIRS,D,0.2587805311106103,Low
30.31095,73.39963,2025-11-03,70,9.51,N,VIIRS,D,0.2504700025667412,Low
30.32784,73.42342,2025-11-03,70,4.27,N,VIIRS,D,0.10693251444149915,Low
30.3537,75.70901,2025-11-03,70,2.91,N,VIIRS,D,0.3091995771084475,Moderate
30.40381,75.77145,2025-11-03,70,6.33,N,VIIRS,D,0.3518956597370859,Moderate
30.40412,75.77588,2025-11-03,70,6.63,N,VIIRS,D,0.41598807278135663,Moderate
30.4052,75.77141,2025-11-03,100,11.03,N,VIIRS,D,0.3500839103690196,Moderate
30.40549,75.77586,2025-11-03,70,10.62,N,VIIRS,D,0.39125633038002916,Moderate
30.4095,75.77095,2025-11-03,70,4.46,N,VIIRS,D,0.3379853742885076,Moderate
30.42416,74.38432,2025-11-03,70,2.55,N,VIIRS,D,0.3605643750948938,Moderate
30.42868,76.30238,2025-11-03,70,6.1,N,VIIRS,D,0.38722167817236675,Moderate
30.4326,76.30276,2025-11-03,70,6.1,N,VIIRS,D,0.49378940117830633,High
30.43304,74.50236,2025-11-03,70,14.57,N,VIIRS,D,0.29102265717753434,Moderate
30.43332,74.50608,2025-11-03,100,17.38,N,VIIRS,D,0.36384608428819315,Moderate
30.47663,74.1187,2025-11-03,70,10.8,N,VIIRS,D,0.3967261316268937,Moderate
30.47692,74.12222,2025-11-03,100,24.33,N,VIIRS,D,0.40794219768556594,Moderate
30.48033,75.6983,2025-11-03,70,2.14,N,VIIRS,D,0.3485128603749875,Moderate
30.50348,75.09347,2025-11-03,70,3.77,N,VIIRS,D,0.3983765003411027,Moderate
30.51579,75.03548,2025-11-03,70,5.74,N,VIIRS,D,0.47973090523500106,High
30.51609,75.0395,2025-11-03,70,5.74,N,VIIRS,D,0.4110791258307462,Moderate
30.52667,74.21242,2025-11-03,100,7.68,N,VIIRS,D,0.4723552667054339,High
30.56311,74.14404,2025-11-03,70,5.19,N,VIIRS,D,0.16645187480296914,Low
30.5634,74.1476,2025-11-03,70,6.96,N,VIIRS,D,0.20477719074171635,Low
30.56829,74.14352,2025-11-03,70,6.38,N,VIIRS,D,0.2930648486621882,Moderate
30.56858,74.14708,2025-11-03,100,9.77,N,VIIRS,D,0.29086305022209497,Moderate
30.58063,75.39072,2025-11-03,100,8.22,N,VIIRS,D,0.3418690081708789,Moderate
30.58428,75.39005,2025-11-03,100,7.55,N,VIIRS,D,0.3513725549934154,Moderate
30.59052,75.5274,2025-11-03,70,5.91,N,VIIRS,D,0.33664373855316854,Moderate
30.59076,75.61037,2025-11-03,70,2.51,N,VIIRS,D,0.5041711747854712,High
30.59306,75.61008,2025-11-03,70,3.77,N,VIIRS,D,0.5249204508619776,High
30.59333,75.52697,2025-11-03,70,4.95,N,VIIRS,D,0.34701028371027903,Moderate
30.59459,75.37637,2025-11-03,70,3.12,N,VIIRS,D,0.37545272296588356,Moderate
30.60243,75.85975,2025-11-03,70,2.76,N,VIIRS,D,0.31208089888231333,Moderate
30.60316,75.85985,2025-11-03,70,2.75,N,VIIRS,D,0.3135823030344926,Moderate
30.60873,75.02218,2025-11-03,70,4.01,N,VIIRS,D,0.47980368118794314,High
30.61378,75.7549,2025-11-03,70,1.75,N,VIIRS,D,0.43911321174110485,Moderate
30.6181,75.75453,2025-11-03,70,2.13,N,VIIRS,D,0.3670738045772968,Moderate
30.62452,75.40356,2025-11-03,70,3.63,N,VIIRS,D,0.37708145940921434,Moderate
30.62725,74.35329,2025-11-03,70,3.48,N,VIIRS,D,0.46467295665495373,High
30.63324,75.0565,2025-11-03,70,3.53,N,VIIRS,D,0.4297930905782186,Moderate
30.6366,75.75301,2025-11-03,70,4.24,N,VIIRS,D,0.4205292846347066,Moderate
30.69811,74.31313,2025-11-03,100,14.21,N,VIIRS,D,0.384037745746825,Moderate
30.70795,73.96564,2025-11-03,70,5.81,N,VIIRS,D,0.043047995901985145,Unburned / Recovered
30.71978,73.91892,2025-11-03,100,10.79,N,VIIRS,D,0.20385678781999597,Low
30.72668,74.33984,2025-11-03,70,4.07,N,VIIRS,D,0.3131823526441065,Moderate
30.73112,74.33805,2025-11-03,100,9.72,N,VIIRS,D,0.4254766587254566,Moderate
30.7718,75.95046,2025-11-03,70,8.58,N,VIIRS,D,0.16632054302057472,Low
30.80433,75.12892,2025-11-03,70,3.65,N,VIIRS,D,0.522103469778779,High
30.81446,74.96033,2025-11-03,100,8.8,N,VIIRS,D,0.5712635172293625,High
30.81991,74.95985,2025-11-03,100,7.4,N,VIIRS,D,0.4750626004685852,High
