latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
29.51224,74.55598,2025-11-02,70,3.54,N,VIIRS,D,0.20931789647057503,Low
29.52551,74.5529,2025-11-02,70,4.03,N,VIIRS,D,0.25282118522748975,Low
29.52809,74.05228,2025-11-02,70,3.44,N,VIIRS,D,0.29063763131756315,Moderate
29.53359,74.58119,2025-11-02,70,5.66,N,VIIRS,D,0.4291265705157751,Moderate
29.54373,74.49501,2025-11-02,70,5.12,N,VIIRS,D,0.27871422739224266,Moderate
29.54833,74.448,2025-11-02,70,11.54,N,VIIRS,D,0.1571275765293261,Low
29.54868,74.45499,2025-11-02,100,11.54,N,VIIRS,D,0.13857440203644464,Low
29.54875,74.45231,2025-11-02,100,28.92,N,VIIRS,D,0.14209612137640262,Low
29.58172,74.42248,2025-11-02,70,3.14,N,VIIRS,D,0.29582441520997793,Moderate
29.79608,75.34245,2025-11-02,70,4.84,N,VIIRS,D,0.23145872099645073,Low
29.87421,75.59531,2025-11-02,70,7.16,N,VIIRS,D,0.21132537455418854,Low
29.97519,75.02917,2025-11-02,100,16.44,N,VIIRS,D,0.18657626857344703,Low
29.97875,75.02688,2025-11-02,100,12.84,N,VIIRS,D,0.23499785240602636,Low
29.98191,74.25795,2025-11-02,70,4.21,N,VIIRS,D,0.07223905114175634,Unburned / Recovered
29.98223,74.26486,2025-11-02,70,4.21,N,VIIRS,D,0.021253296705150904,Unburned / Recovered
30.02922,75.04786,2025-11-02,70,13.9,N,VIIRS,D,0.3166076513679185,Moderate
30.04231,75.38897,2025-11-02,100,22.86,N,VIIRS,D,0.1551579783351525,Low
30.08271,75.31458,2025-11-02,70,9.11,N,VIIRS,D,0.28426969409924985,Moderate
30.08326,75.71246,2025-11-02,70,10.21,N,VIIRS,D,0.3126170467840481,Moderate
30.0837,75.71281,2025-11-02,70,6.43,N,VIIRS,D,0.314115492855689,Moderate
30.08534,75.31439,2025-11-02,70,9.99,N,VIIRS,D,0.3259939488310218,Moderate
30.17538,75.36586,2025-11-02,70,7.88,N,VIIRS,D,0.30773516103854687,Moderate
30.20299,75.19765,2025-11-02,70,13.93,N,VIIRS,D,0.3700934368056628,Moderate
30.20332,75.20558,2025-11-02,100,23.42,N,VIIRS,D,0.37983046238832996,Moderate
30.20418,75.81916,2025-11-02,70,6.91,N,VIIRS,D,0.2810500123598786,Moderate
30.20489,74.62934,2025-11-02,70,14.17,N,VIIRS,D,0.2492909967971056,Low
30.20578,75.20344,2025-11-02,100,23.76,N,VIIRS,D,0.4161261005263766,Moderate
30.22944,74.71702,2025-11-02,70,6.75,N,VIIRS,D,0.25702567026145307,Low
30.34424,73.41653,2025-11-02,70,5.02,N,VIIRS,D,0.0756429715903845,Unburned / Recovered
30.38298,75.65205,2025-11-02,70,7.43,N,VIIRS,D,0.4617622146201956,High
30.38425,74.93304,2025-11-02,70,7.47,N,VIIRS,D,0.31964663936109217,Moderate
30.39046,74.80042,2025-11-02,100,15.54,N,VIIRS,D,0.2844713059160086,Moderate
30.39249,74.79537,2025-11-02,100,16.25,N,VIIRS,D,0.34166737529682223,Moderate
30.39282,74.80293,2025-11-02,100,16.25,N,VIIRS,D,0.2956643805215937,Moderate
30.39747,74.80011,2025-11-02,100,15.54,N,VIIRS,D,0.31653470477390594,Moderate
30.51218,74.54848,2025-11-02,70,4.56,N,VIIRS,D,0.20485125155212489,Low
30.52815,74.59937,2025-11-02,70,3.92,N,VIIRS,D,0.24182540886204182,Low
30.54092,74.25268,2025-11-02,70,15.06,N,VIIRS,D,0.4427022021713636,High
30.54138,74.25012,2025-11-02,100,13.92,N,VIIRS,D,0.4348670500075471,Moderate
30.56044,73.8915,2025-11-02,70,3.54,N,VIIRS,D,0.15466990792855403,Low
30.57596,75.70606,2025-11-02,70,5.82,N,VIIRS,D,0.3502056396747158,Moderate
30.60494,74.60352,2025-11-02,70,6.69,N,VIIRS,D,0.21508861555131112,Low
30.67327,75.54765,2025-11-02,70,7.72,N,VIIRS,D,0.3410682737971822,Moderate
30.68381,75.42976,2025-11-02,100,10.58,N,VIIRS,D,0.36859605793049255,Moderate
30.68549,75.43395,2025-11-02,70,15.64,N,VIIRS,D,0.3094660042643415,Moderate
30.76493,74.48622,2025-11-02,70,5.96,N,VIIRS,D,0.3130997605718615,Moderate
30.79801,74.46783,2025-11-02,70,9.04,N,VIIRS,D,0.32859890192522556,Moderate
30.79888,74.47016,2025-11-02,70,7.65,N,VIIRS,D,0.3118468339152025,Moderate
30.85876,74.6275,2025-11-02,70,16.66,N,VIIRS,D,0.39427365220131066,Moderate
30.85998,74.62789,2025-11-02,70,13.29,N,VIIRS,D,0.41298990555064097,Moderate
