latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
29.7575,75.61535,2025-11-09,70,11.05,N,VIIRS,D,0.5091212632591761,High
29.75803,75.62077,2025-11-09,70,11.93,N,VIIRS,D,0.47976724335404103,High
29.76101,75.61885,2025-11-09,70,20.1,N,VIIRS,D,0.40095109460048267,Moderate
29.77041,75.56844,2025-11-09,70,7.45,N,VIIRS,D,0.43896509501639946,Moderate
29.77171,75.56989,2025-11-09,70,6.07,N,VIIRS,D,0.455874312427953,High
29.78333,75.50712,2025-11-09,70,4.54,N,VIIRS,D,0.3533557946304296,Moderate
29.79919,75.42979,2025-11-09,70,6.8,N,VIIRS,D,0.5543751482584925,High
29.80111,73.81496,2025-11-09,70,3.83,N,VIIRS,D,0.018829360392757722,Unburned / Recovered
29.80261,73.81522,2025-11-09,70,3.12,N,VIIRS,D,0.00882549969449833,Unburned / Recovered
29.8217,74.48958,2025-11-09,70,3.39,N,VIIRS,D,0.08594515679003721,Unburned / Recovered
29.8321,76.20557,2025-11-09,70,3.28,N,VIIRS,D,0.55456040546105,High
29.833,76.20655,2025-11-09,70,5.83,N,VIIRS,D,0.5514696425292891,High
29.87688,75.3697,2025-11-09,70,5.27,N,VIIRS,D,0.33039956652628855,Moderate
29.88732,75.4812,2025-11-09,70,3.52,N,VIIRS,D,0.2935793960512766,Moderate
29.88793,75.79638,2025-11-09,70,3.87,N,VIIRS,D,0.37081485698361993,Moderate
29.89053,75.79824,2025-11-09,70,3.99,N,VIIRS,D,0.3199067950689511,Moderate
29.89216,75.19406,2025-11-09,70,2.9,N,VIIRS,D,0.27375848599926217,Moderate
29.89367,75.20952,2025-11-09,70,5.93,N,VIIRS,D,0.23560230256377215,Low
29.8952,75.99812,2025-11-09,70,9.02,N,VIIRS,D,0.38777770724551275,Moderate
29.89606,75.42619,2025-11-09,70,3.24,N,VIIRS,D,0.22241877382831876,Low
29.92017,75.99902,2025-11-09,70,1.3,N,VIIRS,D,0.35830370131098316,Moderate
29.93396,73.01026,2025-11-09,70,14.03,N,VIIRS,D,0.4993399475612989,High
29.93499,73.10736,2025-11-09,70,6.34,N,VIIRS,D,0.22618186879016344,Low
29.9354,73.00648,2025-11-09,70,22.07,N,VIIRS,D,0.4498996854567625,High
29.93628,73.10491,2025-11-09,70,5.89,N,VIIRS,D,0.33541250590842214,Moderate
29.95274,74.60247,2025-11-09,70,1.69,N,VIIRS,D,0.21081728158036445,Low
29.95334,75.99516,2025-11-09,70,13.49,N,VIIRS,D,0.41005310016295865,Moderate
29.95424,76.11244,2025-11-09,70,8.25,N,VIIRS,D,0.4643184509233915,High
29.95477,76.11829,2025-11-09,70,10.67,N,VIIRS,D,0.4704900379960184,High
29.96345,75.54811,2025-11-09,70,8.53,N,VIIRS,D,0.2934287470435721,Moderate
29.96754,76.04611,2025-11-09,70,8.74,N,VIIRS,D,0.3264417631619653,Moderate
29.97151,73.05804,2025-11-09,70,2.69,N,VIIRS,D,0.43022960445929515,Moderate
29.98126,75.70936,2025-11-09,70,3.72,N,VIIRS,D,0.43533315244168697,Moderate
29.98543,74.5358,2025-11-09,70,4.52,N,VIIRS,D,0.2831302316368873,Moderate
29.98691,74.53709,2025-11-09,70,7.25,N,VIIRS,D,0.25441737929431,Low
29.98752,75.70021,2025-11-09,70,4.14,N,VIIRS,D,0.4151887110458404,Moderate
29.98976,74.53523,2025-11-09,70,4.52,N,VIIRS,D,0.18089392994416648,Low
29.99001,73.11501,2025-11-09,70,9.18,N,VIIRS,D,0.33117957598124703,Moderate
29.99008,75.7027,2025-11-09,70,3.15,N,VIIRS,D,0.43820129027105914,Moderate
30.0034,75.74604,2025-11-09,70,2.04,N,VIIRS,D,0.2291584576794551,Low
30.00892,75.60027,2025-11-09,70,2.09,N,VIIRS,D,0.3681328071554248,Moderate
30.01206,75.05706,2025-11-09,70,5.96,N,VIIRS,D,0.3390063347383751,Moderate
30.0167,76.11462,2025-11-09,70,5.85,N,VIIRS,D,0.5500913814439948,High
30.03466,76.04424,2025-11-09,70,3.93,N,VIIRS,D,0.6486234853271632,High
30.03716,73.69721,2025-11-09,70,2.24,N,VIIRS,D,0.1091726375568076,Low
30.03772,75.55821,2025-11-09,70,57.93,N,VIIRS,D,0.4392646041744687,Moderate
30.04115,74.10261,2025-11-09,70,5.25,N,VIIRS,D,0.10983075077011156,Low
30.04176,74.10176,2025-11-09,70,5.48,N,VIIRS,D,0.11784673617633347,Low
30.04242,75.06573,2025-11-09,70,6.51,N,VIIRS,D,0.29614478492344837,Moderate
30.04493,75.06835,2025-11-09,70,8.25,N,VIIRS,D,0.32707765331460187,Moderate
