latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
31.99419,73.48746,2025-11-05,70,2.98,N,VIIRS,D,0.48515644567675564,High
31.99974,73.90863,2025-11-05,70,4.28,N,VIIRS,D,0.372867431122276,Moderate
31.99997,73.36925,2025-11-05,70,4.25,N,VIIRS,D,0.4852732187964209,High
28.82268,76.95825,2025-11-05,70,0.63,N,VIIRS,N,-0.09453805150008643,Unburned / Recovered
28.82752,77.15054,2025-11-05,70,0.49,N,VIIRS,N,-0.020964722918644065,Unburned / Recovered
28.83083,76.97209,2025-11-05,70,0.65,N,VIIRS,N,-0.01818828399419476,Unburned / Recovered
28.87206,77.12164,2025-11-05,70,0.76,N,VIIRS,N,-0.025394705588980774,Unburned / Recovered
28.89595,76.75845,2025-11-05,70,0.65,N,VIIRS,N,0.3155367861672777,Moderate
28.89928,76.75909,2025-11-05,70,0.65,N,VIIRS,N,0.3647563890914166,Moderate
29.538,75.27065,2025-11-05,70,0.58,N,VIIRS,N,0.37162766212680964,Moderate
29.53911,75.26872,2025-11-05,70,0.41,N,VIIRS,N,0.35681747110265044,Moderate
29.54916,74.87219,2025-11-05,70,0.54,N,VIIRS,N,0.26528885919726947,Low
29.90978,74.94769,2025-11-05,70,0.54,N,VIIRS,N,0.06806940816980649,Unburned / Recovered
30.34079,76.04761,2025-11-05,70,0.3,N,VIIRS,N,0.32509221173952085,Moderate
30.45477,76.59389,2025-11-05,70,4.62,N,VIIRS,N,0.016480811642285424,Unburned / Recovered
30.54339,74.13615,2025-11-05,70,0.61,N,VIIRS,N,0.5834887275061047,High
30.60139,76.22309,2025-11-05,70,2.01,N,VIIRS,N,0.10295282806476837,Low
30.60198,76.21883,2025-11-05,70,2.53,N,VIIRS,N,0.023143815262076452,Unburned / Recovered
30.60479,76.22374,2025-11-05,70,2.01,N,VIIRS,N,0.0600669802056734,Unburned / Recovered
30.60539,76.21947,2025-11-05,70,2.53,N,VIIRS,N,0.08646656923082051,Unburned / Recovered
30.74096,76.27401,2025-11-05,70,14.96,N,VIIRS,N,0.11377781977807146,Low
30.80655,76.13248,2025-11-05,70,6.53,N,VIIRS,N,0.052050551225852996,Unburned / Recovered
30.80716,76.12817,2025-11-05,70,6.53,N,VIIRS,N,0.05902441863245263,Unburned / Recovered
31.02237,75.59035,2025-11-05,70,0.69,N,VIIRS,N,0.33395634385468936,Moderate
31.03903,75.3837,2025-11-05,70,0.79,N,VIIRS,N,0.23641911165921586,Low
31.24924,76.92957,2025-11-05,70,0.34,N,VIIRS,N,0.04980895069952288,Unburned / Recovered
31.25081,76.92816,2025-11-05,70,0.42,N,VIIRS,N,0.04846569195403993,Unburned / Recovered
31.41338,76.83642,2025-11-05,70,0.32,N,VIIRS,N,0.054138158657305056,Unburned / Recovered
31.60868,74.40334,2025-11-05,70,0.8,N,VIIRS,N,0.025169653675697585,Unburned / Recovered
31.61617,74.37312,2025-11-05,70,1.14,N,VIIRS,N,0.010637611360373965,Unburned / Recovered
31.62097,74.42637,2025-11-05,70,0.41,N,VIIRS,N,0.013448610634957838,Unburned / Recovered
31.74718,74.92764,2025-11-05,70,6.22,N,VIIRS,N,0.06603148859658863,Unburned / Recovered
31.7478,74.92274,2025-11-05,70,6.22,N,VIIRS,N,0.045676066591095695,Unburned / Recovered
31.7508,74.92828,2025-11-05,70,1.75,N,VIIRS,N,0.08321715949103398,Unburned / Recovered
28.06935,77.85912,2025-11-05,70,0.29,N,VIIRS,N,0.02483026542421223,Unburned / Recovered
28.16077,73.198,2025-11-05,70,0.34,N,VIIRS,N,0.00950994318248518,Unburned / Recovered
28.32163,77.20031,2025-11-05,70,0.73,N,VIIRS,N,-0.10343795494104019,Unburned / Recovered
28.32916,77.17358,2025-11-05,70,1.14,N,VIIRS,N,-0.014032127505485366,Unburned / Recovered
28.33906,77.21986,2025-11-05,70,0.41,N,VIIRS,N,-0.03378490225201682,Unburned / Recovered
28.34299,77.17228,2025-11-05,70,0.19,N,VIIRS,N,0.03885560830954528,Unburned / Recovered
28.35919,77.244,2025-11-05,70,0.46,N,VIIRS,N,0.006320321663673281,Unburned / Recovered
28.7432,76.92765,2025-11-05,70,1.03,N,VIIRS,N,0.11004087519435614,Low
28.01136,77.4338,2025-11-06,70,4.14,N,VIIRS,D,0.4126707908302208,Moderate
28.0542,77.71521,2025-11-06,70,2.06,N,VIIRS,D,0.4399755624624655,Moderate
28.15956,77.58501,2025-11-06,70,2.49,N,VIIRS,D,0.25451773841278374,Low
28.28597,75.85728,2025-11-06,70,3.53,N,VIIRS,D,-0.04746269257215868,Unburned / Recovered
28.31111,73.4379,2025-11-06,70,1.58,N,VIIRS,D,0.00891683977429534,Unburned / Recovered
28.82577,76.45815,2025-11-06,70,7.14,N,VIIRS,D,0.24280938485034173,Low
28.82922,76.45738,2025-11-06,70,7.14,N,VIIRS,D,0.2810115737204792,Moderate
28.85806,76.64736,2025-11-06,70,2.1,N,VIIRS,D,0.08320705536401833,Unburned / Recovered
