latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
29.90616,75.9459,2025-11-05,70,3.05,N,VIIRS,D,0.43601817530548026,Moderate
29.91573,75.91402,2025-11-05,70,5.46,N,VIIRS,D,0.5681245487595526,High
29.92526,74.10945,2025-11-05,70,2.43,N,VIIRS,D,-0.005513495710865829,Unburned / Recovered
29.9255,73.03001,2025-11-05,70,2.56,N,VIIRS,D,0.21396076550676754,Low
29.94711,74.00702,2025-11-05,70,2.7,N,VIIRS,D,-0.05901612543359126,Unburned / Recovered
29.98252,73.04287,2025-11-05,70,2.29,N,VIIRS,D,0.37575469581398246,Moderate
29.98817,74.48144,2025-11-05,70,7.94,N,VIIRS,D,0.24006037765138433,Low
29.9989,73.18856,2025-11-05,70,13.14,N,VIIRS,D,0.28786328531968136,Moderate
30.00086,73.5258,2025-11-05,70,1.91,N,VIIRS,D,0.1186288729315276,Low
30.00273,73.10496,2025-11-05,70,1.43,N,VIIRS,D,0.2604037913405072,Low
30.0068,73.19517,2025-11-05,70,1.76,N,VIIRS,D,0.36595072917642707,Moderate
30.01188,73.22717,2025-11-05,70,2.44,N,VIIRS,D,0.41706621564389007,Moderate
30.05079,73.24004,2025-11-05,70,2.37,N,VIIRS,D,0.24020799006261884,Low
30.05346,73.23534,2025-11-05,70,3.14,N,VIIRS,D,0.31459231986243985,Moderate
30.05967,73.29595,2025-11-05,70,2.37,N,VIIRS,D,0.27738504336199477,Moderate
30.0643,73.19588,2025-11-05,70,3.54,N,VIIRS,D,0.15256167406992174,Low
30.10832,74.86177,2025-11-05,70,2.32,N,VIIRS,D,0.14941442121984522,Low
30.11447,74.67068,2025-11-05,70,1.86,N,VIIRS,D,0.3494316195223607,Moderate
30.11809,74.90541,2025-11-05,70,2.09,N,VIIRS,D,0.17562399289617217,Low
30.14772,73.70511,2025-11-05,70,2.43,N,VIIRS,D,0.48227497732449587,High
30.14861,74.17566,2025-11-05,70,1.47,N,VIIRS,D,0.15889785120857264,Low
30.14922,73.56118,2025-11-05,70,1.61,N,VIIRS,D,0.2709660592502489,Moderate
30.15146,75.35406,2025-11-05,70,1.72,N,VIIRS,D,0.34244120646708,Moderate
30.16234,75.63515,2025-11-05,70,3.08,N,VIIRS,D,0.5495309134321104,High
30.16293,75.63931,2025-11-05,70,3.08,N,VIIRS,D,0.5203683563019401,High
30.16418,73.12128,2025-11-05,70,3.14,N,VIIRS,D,0.18629592288320987,Low
30.16988,73.60619,2025-11-05,70,4.65,N,VIIRS,D,0.3884701328581104,Moderate
30.17019,73.22345,2025-11-05,70,1.95,N,VIIRS,D,0.08622838939102113,Unburned / Recovered
30.18783,73.45863,2025-11-05,70,2.91,N,VIIRS,D,0.22259013667451572,Low
30.1978,75.56118,2025-11-05,70,2.95,N,VIIRS,D,0.4596297356459468,High
30.2024,73.25387,2025-11-05,70,4.76,N,VIIRS,D,0.05171883334333865,Unburned / Recovered
30.21144,75.75956,2025-11-05,70,2.07,N,VIIRS,D,0.4375182662572731,Moderate
30.23053,75.92444,2025-11-05,70,10.07,N,VIIRS,D,0.2796882780681009,Moderate
30.2418,74.39128,2025-11-05,70,2.78,N,VIIRS,D,0.330651096522028,Moderate
30.25445,74.38466,2025-11-05,70,12.7,N,VIIRS,D,0.3337429261218838,Moderate
30.25538,73.6134,2025-11-05,70,2.29,N,VIIRS,D,0.32586948495270424,Moderate
30.25716,74.38001,2025-11-05,70,4.9,N,VIIRS,D,0.3399706109571055,Moderate
30.25868,73.61271,2025-11-05,70,2.29,N,VIIRS,D,0.40162741406803826,Moderate
30.25869,74.36739,2025-11-05,70,4.24,N,VIIRS,D,0.2844573847480574,Moderate
30.26192,74.41186,2025-11-05,70,2.7,N,VIIRS,D,0.2364884728399063,Low
30.26917,75.92608,2025-11-05,70,8.6,N,VIIRS,D,0.2930899710996201,Moderate
30.28214,74.38739,2025-11-05,70,2.71,N,VIIRS,D,0.19663701953417909,Low
30.28782,74.40262,2025-11-05,70,2.07,N,VIIRS,D,0.2978672698593918,Moderate
30.29628,76.04755,2025-11-05,70,3.36,N,VIIRS,D,0.5515133553392249,High
30.29971,76.04692,2025-11-05,70,26.19,N,VIIRS,D,0.5340635554476416,High
30.30324,75.91987,2025-11-05,70,2.28,N,VIIRS,D,0.3708858172284738,Moderate
30.30436,73.77577,2025-11-05,70,4.35,N,VIIRS,D,0.35861498376308676,Moderate
30.30624,74.36617,2025-11-05,70,7.56,N,VIIRS,D,0.31303776978635894,Moderate
30.309,74.31631,2025-11-05,70,2.44,N,VIIRS,D,0.3220423544505093,Moderate
30.31884,73.9369,2025-11-05,70,2.26,N,VIIRS,D,0.24461026117983473,Low
