latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
29.44629,73.79264,2025-11-08,70,3.42,N,VIIRS,D,0.21672944587870185,Low
29.45605,74.07115,2025-11-08,70,4.43,N,VIIRS,D,0.39510892105692763,Moderate
29.45658,76.35712,2025-11-08,100,11.73,N,VIIRS,D,0.20051592201453713,Low
29.45699,74.08386,2025-11-08,70,5.16,N,VIIRS,D,0.41844147130951964,Moderate
29.45967,75.3717,2025-11-08,70,2.67,N,VIIRS,D,0.14066730589068813,Low
29.47737,74.2067,2025-11-08,70,1.03,N,VIIRS,D,0.2040853775032287,Low
29.48822,74.12386,2025-11-08,100,10.46,N,VIIRS,D,0.4771304330654271,High
29.48886,74.13239,2025-11-08,70,10.14,N,VIIRS,D,0.4432725708075351,High
29.48918,74.13667,2025-11-08,100,10.14,N,VIIRS,D,0.3244016784868127,Moderate
29.4907,74.19325,2025-11-08,70,3.55,N,VIIRS,D,0.21538653458487964,Low
29.49165,74.12417,2025-11-08,100,25.26,N,VIIRS,D,0.45208838278165314,High
29.49224,74.13271,2025-11-08,100,11.34,N,VIIRS,D,0.44796807353892165,High
29.49253,74.13697,2025-11-08,100,11.34,N,VIIRS,D,0.4003398825109572,Moderate
29.49384,74.12337,2025-11-08,100,12.7,N,VIIRS,D,0.41636116348144847,Moderate
29.49546,74.17984,2025-11-08,70,3.1,N,VIIRS,D,0.24058911139008005,Low
29.49802,74.17899,2025-11-08,70,3.22,N,VIIRS,D,0.276247169273048,Moderate
29.49931,74.19616,2025-11-08,70,2.21,N,VIIRS,D,0.22244388455218317,Low
29.50055,74.42606,2025-11-08,70,2.66,N,VIIRS,D,0.4117977517869734,Moderate
29.50438,74.14452,2025-11-08,70,2.35,N,VIIRS,D,0.32964746627162195,Moderate
29.51533,74.13921,2025-11-08,70,4.56,N,VIIRS,D,0.19399364450339338,Low
29.52402,75.92963,2025-11-08,70,6.0,N,VIIRS,D,0.34724668222529964,Moderate
29.52403,76.65261,2025-11-08,70,9.57,N,VIIRS,D,0.3881939038467671,Moderate
29.52413,74.61373,2025-11-08,70,19.44,N,VIIRS,D,0.4342938500288443,Moderate
29.52446,74.6183,2025-11-08,70,20.06,N,VIIRS,D,0.36771262256814463,Moderate
29.52448,74.61491,2025-11-08,100,23.21,N,VIIRS,D,0.4200871698979832,Moderate
29.52458,76.6528,2025-11-08,70,9.6,N,VIIRS,D,0.3868490485818613,Moderate
29.52477,74.61948,2025-11-08,70,15.16,N,VIIRS,D,0.34429164771275583,Moderate
29.53108,74.54898,2025-11-08,100,9.05,N,VIIRS,D,0.3652691642825122,Moderate
29.53154,74.54549,2025-11-08,70,5.47,N,VIIRS,D,0.2393669173720127,Low
29.53184,74.55004,2025-11-08,70,5.47,N,VIIRS,D,0.37619293236353046,Moderate
29.53861,74.22822,2025-11-08,70,6.34,N,VIIRS,D,0.2880503935361677,Moderate
29.54064,74.59517,2025-11-08,100,7.46,N,VIIRS,D,0.32962221537068376,Moderate
29.56181,74.47934,2025-11-08,100,7.92,N,VIIRS,D,0.1922604835983558,Low
29.57361,74.48288,2025-11-08,100,14.41,N,VIIRS,D,0.08653365905416252,Unburned / Recovered
29.57728,74.29063,2025-11-08,70,1.88,N,VIIRS,D,0.33401966395179683,Moderate
29.58484,74.39649,2025-11-08,70,8.39,N,VIIRS,D,0.27844196666583804,Moderate
29.58533,74.5685,2025-11-08,70,3.43,N,VIIRS,D,0.0828527340366017,Unburned / Recovered
29.58676,74.34293,2025-11-08,70,4.1,N,VIIRS,D,0.19516045579059255,Low
29.59183,74.41384,2025-11-08,70,5.6,N,VIIRS,D,0.3689589033739724,Moderate
29.59246,74.34245,2025-11-08,70,6.35,N,VIIRS,D,0.1912226767201239,Low
29.59819,74.5035,2025-11-08,70,3.93,N,VIIRS,D,0.23479972840020125,Low
29.64371,74.48631,2025-11-08,70,6.51,N,VIIRS,D,0.2500754780142211,Low
29.64855,74.4723,2025-11-08,70,4.29,N,VIIRS,D,0.24871241416263468,Low
29.65925,75.60817,2025-11-08,70,6.08,N,VIIRS,D,0.38593170537300947,Moderate
29.66294,76.2067,2025-11-08,70,5.76,N,VIIRS,D,0.4148281422043765,Moderate
29.69539,76.10689,2025-11-08,100,9.3,N,VIIRS,D,0.3982907839278452,Moderate
29.69797,76.10894,2025-11-08,70,11.11,N,VIIRS,D,0.41469144670814656,Moderate
29.7073,75.68504,2025-11-08,70,3.44,N,VIIRS,D,0.5018148751344951,High
29.71865,76.02224,2025-11-08,70,7.07,N,VIIRS,D,0.4700187380501382,High
29.7203,76.09957,2025-11-08,70,5.45,N,VIIRS,D,0.5198418719669026,High
