latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
30.67694,74.98627,2025-11-09,70,2.81,N,VIIRS,D,0.21232043628889438,Low
30.67927,74.32787,2025-11-09,70,6.36,N,VIIRS,D,0.20394745508014916,Low
30.67976,74.33259,2025-11-09,70,7.52,N,VIIRS,D,0.2330182088287202,Low
30.68073,74.34201,2025-11-09,70,7.24,N,VIIRS,D,0.18355256995268643,Low
30.69005,74.93271,2025-11-09,70,2.41,N,VIIRS,D,0.19077656357330275,Low
30.69491,74.25098,2025-11-09,70,1.71,N,VIIRS,D,0.0605535600264692,Unburned / Recovered
30.69662,75.593,2025-11-09,70,4.14,N,VIIRS,D,0.24345433285569765,Low
30.69674,74.26969,2025-11-09,70,7.03,N,VIIRS,D,0.05466802462539882,Unburned / Recovered
30.69692,74.22708,2025-11-09,70,3.51,N,VIIRS,D,0.05186603727778752,Unburned / Recovered
30.6993,74.26814,2025-11-09,70,5.83,N,VIIRS,D,0.04420139154476737,Unburned / Recovered
30.70685,75.01388,2025-11-09,70,5.08,N,VIIRS,D,0.6558912803360434,High
30.70731,74.37824,2025-11-09,70,6.14,N,VIIRS,D,0.14353871013924918,Low
30.71001,74.63083,2025-11-09,70,4.06,N,VIIRS,D,0.12740769172089841,Low
30.71076,74.46347,2025-11-09,70,9.71,N,VIIRS,D,0.1599497265329626,Low
30.71108,74.38122,2025-11-09,70,12.23,N,VIIRS,D,0.07791148023611229,Unburned / Recovered
30.71164,74.37766,2025-11-09,70,6.14,N,VIIRS,D,0.06298834020415592,Unburned / Recovered
30.71381,74.32331,2025-11-09,70,4.99,N,VIIRS,D,0.1507170902970905,Low
30.71431,74.32803,2025-11-09,70,6.75,N,VIIRS,D,0.20675713049622235,Low
30.71512,74.46291,2025-11-09,70,7.69,N,VIIRS,D,0.09975614629267744,Unburned / Recovered
30.7152,74.32439,2025-11-09,70,6.45,N,VIIRS,D,0.14873214550780917,Low
30.71562,74.46429,2025-11-09,70,3.02,N,VIIRS,D,0.10622319663088921,Low
30.71922,75.83775,2025-11-09,70,4.1,N,VIIRS,D,0.3423429211626333,Moderate
30.72909,74.33212,2025-11-09,70,8.76,N,VIIRS,D,0.14522228123222974,Low
30.73374,75.61038,2025-11-09,70,3.04,N,VIIRS,D,0.1923796635112912,Low
30.73607,75.61103,2025-11-09,70,7.33,N,VIIRS,D,-0.22267240925376908,Unburned / Recovered
30.73842,75.60983,2025-11-09,70,3.04,N,VIIRS,D,0.3608723810724028,Moderate
30.75498,75.13464,2025-11-09,70,5.3,N,VIIRS,D,0.33613576552156516,Moderate
30.75638,75.00767,2025-11-09,70,5.51,N,VIIRS,D,0.45403620767551606,High
30.76667,75.40465,2025-11-09,70,14.34,N,VIIRS,D,0.3644017792380071,Moderate
30.76751,75.07469,2025-11-09,70,3.55,N,VIIRS,D,0.505751808906583,High
30.77436,75.43697,2025-11-09,70,6.1,N,VIIRS,D,0.34375946178007705,Moderate
30.77657,75.06524,2025-11-09,70,4.57,N,VIIRS,D,0.5267867998249808,High
30.77682,75.88338,2025-11-09,70,5.18,N,VIIRS,D,0.25138462240765924,Low
30.78004,75.06257,2025-11-09,70,6.85,N,VIIRS,D,0.5306615419104019,High
30.78056,75.06779,2025-11-09,70,6.85,N,VIIRS,D,0.4971136891739872,High
30.78109,75.06467,2025-11-09,70,9.51,N,VIIRS,D,0.49520202414665176,High
30.78122,76.36531,2025-11-09,70,7.85,N,VIIRS,D,0.18969293268721638,Low
30.78348,76.36499,2025-11-09,70,7.06,N,VIIRS,D,0.1513002967881892,Low
30.78779,74.84506,2025-11-09,70,4.19,N,VIIRS,D,0.09588205046298676,Unburned / Recovered
30.7896,75.06669,2025-11-09,70,5.56,N,VIIRS,D,0.5314415440155495,High
30.79013,75.06355,2025-11-09,70,9.81,N,VIIRS,D,0.5332635994854596,High
30.79897,75.40076,2025-11-09,70,3.39,N,VIIRS,D,0.43680406252799636,Moderate
30.81558,75.14015,2025-11-09,70,3.61,N,VIIRS,D,0.3752411735199603,Moderate
30.8253,73.92833,2025-11-09,70,3.82,N,VIIRS,D,0.15135583651851078,Low
30.84179,74.4841,2025-11-09,70,8.92,N,VIIRS,D,0.07329813081727411,Unburned / Recovered
30.84226,74.48895,2025-11-09,70,10.73,N,VIIRS,D,0.0869050924116852,Unburned / Recovered
30.85442,74.47754,2025-11-09,70,7.53,N,VIIRS,D,0.10517686219848478,Low
30.87498,74.64349,2025-11-09,70,3.75,N,VIIRS,D,0.06218922282070002,Unburned / Recovered
30.88259,74.91321,2025-11-09,70,2.02,N,VIIRS,D,0.005516442699653534,Unburned / Recovered
30.88467,74.88698,2025-11-09,70,10.99,N,VIIRS,D,0.13904639440502028,Low
