latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
30.01248,75.4984,2025-11-08,70,8.52,N,VIIRS,D,0.39312660612319383,Moderate
30.01429,75.49409,2025-11-08,100,10.37,N,VIIRS,D,0.36693490534738654,Moderate
30.04546,75.94168,2025-11-08,70,3.54,N,VIIRS,D,0.5431262834114297,High
30.04907,75.95568,2025-11-08,100,6.52,N,VIIRS,D,0.5050736684856203,High
30.05002,75.95434,2025-11-08,70,5.97,N,VIIRS,D,0.5100906339886345,High
30.05027,75.96033,2025-11-08,70,6.52,N,VIIRS,D,0.486236919757217,High
30.05119,75.95901,2025-11-08,70,5.97,N,VIIRS,D,0.5030947841972525,High
30.07926,76.00106,2025-11-08,70,1.55,N,VIIRS,D,0.3716873964421456,Moderate
30.08234,76.08475,2025-11-08,70,2.48,N,VIIRS,D,0.5994803809624011,High
30.08251,76.08385,2025-11-08,70,2.72,N,VIIRS,D,0.5963501797940891,High
30.12668,75.06445,2025-11-08,70,8.16,N,VIIRS,D,0.3050689527007115,Moderate
30.12725,75.06398,2025-11-08,70,6.16,N,VIIRS,D,0.28888085597076435,Moderate
30.13078,74.93098,2025-11-08,70,5.2,N,VIIRS,D,0.09272565422376318,Unburned / Recovered
30.14178,74.56173,2025-11-08,70,4.42,N,VIIRS,D,0.08259390248044512,Unburned / Recovered
30.29538,75.74281,2025-11-08,70,2.23,N,VIIRS,D,0.4892903477178042,High
30.30389,76.88981,2025-11-08,70,2.63,N,VIIRS,D,-6.124848102509906e-05,Unburned / Recovered
30.4005,73.96522,2025-11-08,70,4.31,N,VIIRS,D,0.2513861141387817,Low
30.43525,75.73579,2025-11-08,70,1.34,N,VIIRS,D,0.40672316405400993,Moderate
30.45647,74.91139,2025-11-08,70,3.29,N,VIIRS,D,0.09636211185913968,Unburned / Recovered
30.47564,76.4202,2025-11-08,70,3.42,N,VIIRS,D,0.4122704576001109,Moderate
30.47674,76.4245,2025-11-08,70,3.42,N,VIIRS,D,0.32713547188368713,Moderate
30.47827,76.42101,2025-11-08,70,4.51,N,VIIRS,D,0.34964149926351684,Moderate
30.54914,75.9697,2025-11-08,70,4.41,N,VIIRS,D,0.26226410297482294,Low
30.61833,75.05515,2025-11-08,70,7.17,N,VIIRS,D,0.32114294346628147,Moderate
30.61841,74.64251,2025-11-08,70,6.91,N,VIIRS,D,0.09266523933618612,Unburned / Recovered
30.61985,74.64787,2025-11-08,70,8.24,N,VIIRS,D,0.0726503942796469,Unburned / Recovered
30.62948,75.73456,2025-11-08,70,2.45,N,VIIRS,D,0.3957906998168899,Moderate
30.65108,74.95972,2025-11-08,70,6.97,N,VIIRS,D,0.2262490863390524,Low
30.65126,74.95903,2025-11-08,70,5.95,N,VIIRS,D,0.22229109249161716,Low
30.65242,74.96487,2025-11-08,70,8.38,N,VIIRS,D,0.19106884570564348,Low
30.65264,74.96417,2025-11-08,70,5.95,N,VIIRS,D,0.1891753312180202,Low
30.66458,74.51947,2025-11-08,70,2.73,N,VIIRS,D,0.15652053863136955,Low
30.68179,75.722,2025-11-08,70,4.57,N,VIIRS,D,0.27301359421593097,Moderate
30.69304,76.56442,2025-11-08,70,5.24,N,VIIRS,D,0.162169337675475,Low
30.70754,75.00113,2025-11-08,70,2.61,N,VIIRS,D,0.5912442730981718,High
30.7464,75.94954,2025-11-08,70,3.48,N,VIIRS,D,0.46640337304994234,High
30.82186,75.01376,2025-11-08,70,5.43,N,VIIRS,D,0.6066495200657931,High
30.93913,75.16999,2025-11-08,70,3.33,N,VIIRS,D,0.5111560408328502,High
30.98498,74.62607,2025-11-08,70,5.21,N,VIIRS,D,0.057033546398720804,Unburned / Recovered
31.15752,73.15942,2025-11-08,70,4.06,N,VIIRS,D,0.3857123000817637,Moderate
31.21483,74.7807,2025-11-08,70,2.8,N,VIIRS,D,0.03191255315792441,Unburned / Recovered
31.32118,74.69411,2025-11-08,70,8.42,N,VIIRS,D,0.10627881850023939,Low
31.32522,75.313,2025-11-08,70,2.21,N,VIIRS,D,0.09496983252866581,Unburned / Recovered
31.33023,75.31283,2025-11-08,70,3.62,N,VIIRS,D,0.17953199048143428,Low
31.37986,74.81902,2025-11-08,70,4.33,N,VIIRS,D,0.1402678811932685,Low
31.42963,73.78155,2025-11-08,100,22.98,N,VIIRS,D,0.4755371243609663,High
31.43294,73.77724,2025-11-08,70,22.76,N,VIIRS,D,0.3170807963121048,Moderate
31.43452,73.78302,2025-11-08,100,22.76,N,VIIRS,D,0.42536214830874736,Moderate
31.43576,73.7793,2025-11-08,100,22.98,N,VIIRS,D,0.36668698534971617,Moderate
31.47818,75.38627,2025-11-08,70,4.6,N,VIIRS,D,0.1382859197049624,Low
