latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
31.22373,74.52659,2025-11-04,70,5.15,N,VIIRS,D,0.43938064148550626,Moderate
31.23005,75.98261,2025-11-04,70,3.96,N,VIIRS,D,0.3037433847756608,Moderate
31.23888,73.51588,2025-11-04,70,3.38,N,VIIRS,D,0.22883319339619074,Low
31.23971,74.90274,2025-11-04,70,2.45,N,VIIRS,D,0.22267800185611902,Low
31.24044,74.5303,2025-11-04,70,5.31,N,VIIRS,D,0.3235935985129025,Moderate
31.24111,74.53636,2025-11-04,70,5.31,N,VIIRS,D,0.3522287965213445,Moderate
31.24282,73.64758,2025-11-04,70,8.16,N,VIIRS,D,0.3481974678002458,Moderate
31.24285,74.9324,2025-11-04,70,2.87,N,VIIRS,D,0.19726257168782876,Low
31.2433,74.93665,2025-11-04,70,2.87,N,VIIRS,D,0.2315583450791122,Low
31.2438,74.90215,2025-11-04,70,2.45,N,VIIRS,D,0.12703857132820282,Low
31.24512,74.53577,2025-11-04,70,5.31,N,VIIRS,D,0.3606758339996633,Moderate
31.24914,74.53518,2025-11-04,70,36.72,N,VIIRS,D,0.4122412111994021,Moderate
31.25838,74.88293,2025-11-04,70,3.53,N,VIIRS,D,0.18386004591213967,Low
31.26338,73.78996,2025-11-04,70,3.78,N,VIIRS,D,0.39045526568260264,Moderate
31.26451,73.66644,2025-11-04,70,6.73,N,VIIRS,D,0.4922046307275206,High
31.27332,73.60955,2025-11-04,70,11.06,N,VIIRS,D,0.2954712281776852,Moderate
31.27523,74.92351,2025-11-04,70,42.9,N,VIIRS,D,0.21165147493703532,Low
31.27713,73.60896,2025-11-04,70,11.06,N,VIIRS,D,0.30484729883423395,Moderate
31.28295,74.87943,2025-11-04,70,7.64,N,VIIRS,D,0.1846775953904579,Low
31.2883,74.70238,2025-11-04,70,3.49,N,VIIRS,D,0.2770549818294848,Moderate
31.29585,74.58044,2025-11-04,70,6.07,N,VIIRS,D,0.20978288352609054,Low
31.30558,74.63294,2025-11-04,70,3.08,N,VIIRS,D,0.36280601447609667,Moderate
31.30918,74.62827,2025-11-04,70,3.09,N,VIIRS,D,0.3135680774621442,Moderate
31.30962,74.63235,2025-11-04,70,3.09,N,VIIRS,D,0.30252959326651496,Moderate
31.3187,74.79514,2025-11-04,70,3.73,N,VIIRS,D,0.2644675741625277,Low
31.3192,73.85831,2025-11-04,70,4.03,N,VIIRS,D,0.4450266163374088,High
31.31981,74.88474,2025-11-04,70,2.79,N,VIIRS,D,0.2874035016346495,Moderate
31.31983,73.86391,2025-11-04,70,4.31,N,VIIRS,D,0.3105880396709858,Moderate
31.32567,73.84589,2025-11-04,70,6.31,N,VIIRS,D,0.2341176307958692,Low
31.33866,73.58558,2025-11-04,70,4.54,N,VIIRS,D,0.3460744973083707,Moderate
31.34012,74.64879,2025-11-04,70,3.36,N,VIIRS,D,0.32826022880810335,Moderate
31.34952,74.77373,2025-11-04,70,2.94,N,VIIRS,D,0.25812089671907545,Low
31.35661,73.80701,2025-11-04,70,2.76,N,VIIRS,D,0.5216299798792502,High
31.36593,73.55367,2025-11-04,70,4.12,N,VIIRS,D,0.3622338715668551,Moderate
31.37429,74.66058,2025-11-04,70,2.93,N,VIIRS,D,0.2394372890568753,Low
31.38627,75.15994,2025-11-04,70,2.21,N,VIIRS,D,0.22697417982998336,Low
31.40491,73.81664,2025-11-04,70,2.57,N,VIIRS,D,0.32159370174944485,Moderate
31.41687,74.89674,2025-11-04,70,5.2,N,VIIRS,D,0.308011439616869,Moderate
31.42951,75.01239,2025-11-04,70,10.17,N,VIIRS,D,0.10955319109279511,Low
31.43119,75.0126,2025-11-04,70,11.18,N,VIIRS,D,0.15406624665893195,Low
31.44512,73.77988,2025-11-04,70,11.23,N,VIIRS,D,0.2090514809252346,Low
31.44724,74.80678,2025-11-04,70,6.66,N,VIIRS,D,0.280380789780817,Moderate
31.44769,74.811,2025-11-04,70,15.44,N,VIIRS,D,0.26204943434259953,Low
31.45279,73.84713,2025-11-04,70,6.55,N,VIIRS,D,0.4146841593913475,Moderate
31.45924,73.86907,2025-11-04,70,3.19,N,VIIRS,D,0.4713917189372616,High
31.46248,73.79427,2025-11-04,70,7.82,N,VIIRS,D,0.4597979580333932,High
31.46313,73.79985,2025-11-04,70,6.88,N,VIIRS,D,0.500114123745468,High
31.46699,73.79926,2025-11-04,70,6.88,N,VIIRS,D,0.3792559129443445,Moderate
31.47281,73.84978,2025-11-04,70,3.66,N,VIIRS,D,0.5479389575068491,High
31.47408,73.96494,2025-11-04,70,3.64,N,VIIRS,D,0.1395177873727071,Low
