latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
31.91493,73.21593,2025-11-05,70,6.31,N,VIIRS,D,0.45821679257477227,High
31.91555,73.21997,2025-11-05,70,6.31,N,VIIRS,D,0.4200979647187509,Moderate
31.91916,73.61562,2025-11-05,70,4.94,N,VIIRS,D,0.4758315934216602,High
31.92184,73.08476,2025-11-05,70,8.06,N,VIIRS,D,0.12984711211417005,Low
31.92295,73.20167,2025-11-05,70,2.03,N,VIIRS,D,0.26023332554671,Low
31.92467,73.23475,2025-11-05,70,3.12,N,VIIRS,D,0.5369051319830678,High
31.92529,73.2388,2025-11-05,70,4.13,N,VIIRS,D,0.5731492139220828,High
31.92609,73.22191,2025-11-05,70,5.23,N,VIIRS,D,0.39293263109773163,Moderate
31.92672,73.22596,2025-11-05,70,5.23,N,VIIRS,D,0.485526713266556,High
31.9286,73.2381,2025-11-05,70,4.13,N,VIIRS,D,0.542785704103927,High
31.93002,73.22526,2025-11-05,70,3.99,N,VIIRS,D,0.38621342865728286,Moderate
31.93065,73.2293,2025-11-05,70,22.21,N,VIIRS,D,0.4669195939797487,High
31.93127,73.23335,2025-11-05,70,22.21,N,VIIRS,D,0.45678157706003797,High
31.93305,73.5501,2025-11-05,70,4.81,N,VIIRS,D,0.440681912323843,High
31.93381,73.82568,2025-11-05,70,16.18,N,VIIRS,D,0.4399034591367618,Moderate
31.93577,73.97584,2025-11-05,70,2.41,N,VIIRS,D,0.17752380752322097,Low
31.93652,73.5953,2025-11-05,70,4.63,N,VIIRS,D,0.357694853049476,Moderate
31.93712,73.825,2025-11-05,70,16.18,N,VIIRS,D,0.44227613031084445,High
31.93874,74.18082,2025-11-05,70,2.62,N,VIIRS,D,-0.020796530820186242,Unburned / Recovered
31.94012,73.42365,2025-11-05,70,2.96,N,VIIRS,D,0.4514394831705495,High
31.94588,73.50597,2025-11-05,70,1.53,N,VIIRS,D,0.38874314572096513,Moderate
31.94669,73.79794,2025-11-05,70,4.5,N,VIIRS,D,0.4119772478005012,Moderate
31.94726,73.29263,2025-11-05,70,3.19,N,VIIRS,D,0.34316559876841674,Moderate
31.9473,73.80199,2025-11-05,70,10.01,N,VIIRS,D,0.3759758496191156,Moderate
31.94783,74.01109,2025-11-05,70,1.76,N,VIIRS,D,0.0846972201467341,Unburned / Recovered
31.95003,73.68439,2025-11-05,70,3.35,N,VIIRS,D,0.4317805152959455,Moderate
31.95056,73.29194,2025-11-05,70,3.19,N,VIIRS,D,0.36089015154401305,Moderate
31.95341,73.26625,2025-11-05,70,2.57,N,VIIRS,D,0.3812053362192094,Moderate
31.95359,73.24532,2025-11-05,70,5.79,N,VIIRS,D,0.3807963846034875,Moderate
31.95404,73.2703,2025-11-05,70,2.57,N,VIIRS,D,0.4129873993370907,Moderate
31.95625,73.64163,2025-11-05,70,1.72,N,VIIRS,D,0.4677480965071761,High
31.95689,73.24462,2025-11-05,70,5.79,N,VIIRS,D,0.2755933783362997,Moderate
31.95769,73.91692,2025-11-05,70,1.91,N,VIIRS,D,0.39096404133095497,Moderate
31.96002,73.26485,2025-11-05,70,2.5,N,VIIRS,D,0.2686464218408452,Low
31.96234,73.30198,2025-11-05,70,2.26,N,VIIRS,D,0.3856350523250891,Moderate
31.96296,73.30603,2025-11-05,70,2.5,N,VIIRS,D,0.3078677930651734,Moderate
31.96713,73.35529,2025-11-05,70,6.26,N,VIIRS,D,0.5086180160931608,High
31.96857,73.34245,2025-11-05,70,1.87,N,VIIRS,D,0.49302568078221515,High
31.9717,73.20801,2025-11-05,70,7.43,N,VIIRS,D,0.17888654449990232,Low
31.9751,73.27419,2025-11-05,70,3.21,N,VIIRS,D,0.39655140112544573,Moderate
31.97573,73.27823,2025-11-05,70,5.93,N,VIIRS,D,0.4326589004287862,Moderate
31.97792,73.64965,2025-11-05,70,1.17,N,VIIRS,D,0.5510363062390362,High
31.98322,73.32681,2025-11-05,70,1.89,N,VIIRS,D,0.4187325756372477,Moderate
31.98339,73.5733,2025-11-05,70,1.94,N,VIIRS,D,0.36576408671743654,Moderate
31.98362,73.95348,2025-11-05,70,2.05,N,VIIRS,D,0.10632850214199914,Low
31.98733,73.30922,2025-11-05,70,18.95,N,VIIRS,D,0.44569045284756875,High
31.98857,73.31731,2025-11-05,70,6.12,N,VIIRS,D,0.19200154833047647,Low
31.99044,73.32946,2025-11-05,70,3.11,N,VIIRS,D,0.21479426506173452,Low
31.99146,73.55907,2025-11-05,70,2.04,N,VIIRS,D,0.2904098866236891,Moderate
31.99285,73.61311,2025-11-05,70,2.89,N,VIIRS,D,0.3504741098034122,Moderate
