latitude,longitude,fire_date,confidence,frp,satellite,instrument,daynight,dnbr,severity
30.91958,74.76102,2025-11-02,70,5.25,N,VIIRS,D,0.4257458350936394,Moderate
30.92156,74.76146,2025-11-02,70,6.4,N,VIIRS,D,0.4536061745719246,High
30.94485,73.65324,2025-11-02,70,6.77,N,VIIRS,D,0.0017102701268505703,Unburned / Recovered
31.03999,74.85411,2025-11-02,70,4.08,N,VIIRS,D,0.1763468545729755,Low
31.09461,75.18591,2025-11-02,70,4.21,N,VIIRS,D,0.13866969338447696,Low
31.20249,73.58611,2025-11-02,70,3.33,N,VIIRS,D,0.37709449762165476,Moderate
31.20916,74.72365,2025-11-02,70,17.08,N,VIIRS,D,0.35644637394916545,Moderate
31.21129,74.77735,2025-11-02,70,4.34,N,VIIRS,D,0.32239750293675984,Moderate
31.21364,74.7251,2025-11-02,70,13.49,N,VIIRS,D,0.2992325113247755,Moderate
31.22775,73.55861,2025-11-02,70,12.76,N,VIIRS,D,0.4883392882625996,High
31.22957,73.5978,2025-11-02,70,9.51,N,VIIRS,D,0.36726895388779873,Moderate
31.25518,73.62737,2025-11-02,70,7.87,N,VIIRS,D,0.336920119205681,Moderate
31.25688,75.16646,2025-11-02,70,3.36,N,VIIRS,D,0.033875355326096084,Unburned / Recovered
31.25764,73.62922,2025-11-02,70,6.35,N,VIIRS,D,0.3397859825339181,Moderate
31.29159,73.78086,2025-11-02,70,4.74,N,VIIRS,D,0.3837318542079475,Moderate
31.31817,73.69704,2025-11-02,100,20.14,N,VIIRS,D,0.5480781613582858,High
31.32437,74.52989,2025-11-02,70,3.28,N,VIIRS,D,0.14895800107253176,Low
31.33036,74.90609,2025-11-02,70,5.25,N,VIIRS,D,0.39071001643650227,Moderate
31.35232,73.80692,2025-11-02,70,5.22,N,VIIRS,D,0.5625774479489932,High
31.44958,73.63995,2025-11-02,70,5.23,N,VIIRS,D,0.26771589382667405,Low
31.45235,73.64069,2025-11-02,70,4.03,N,VIIRS,D,0.28581587358256744,Moderate
31.47845,73.86124,2025-11-02,70,4.39,N,VIIRS,D,0.1723565905486964,Low
31.48843,75.52569,2025-11-02,70,9.43,N,VIIRS,D,-0.10366622626682494,Unburned / Recovered
31.51259,73.71014,2025-11-02,100,11.6,N,VIIRS,D,0.3272288574551365,Moderate
31.53553,75.10552,2025-11-02,70,5.19,N,VIIRS,D,0.05900612201888579,Unburned / Recovered
31.56266,73.78194,2025-11-02,70,5.6,N,VIIRS,D,0.4713909288135368,High
31.56296,73.78875,2025-11-02,70,5.6,N,VIIRS,D,0.5195009264006768,High
31.56521,73.78236,2025-11-02,70,4.54,N,VIIRS,D,0.41347272249697203,Moderate
31.64015,73.65031,2025-11-02,70,5.96,N,VIIRS,D,0.3676764921736873,Moderate
31.6687,73.60081,2025-11-02,70,4.07,N,VIIRS,D,0.37299878528568786,Moderate
31.72823,73.43974,2025-11-02,70,7.12,N,VIIRS,D,0.36970742574020315,Moderate
31.80432,74.8331,2025-11-02,70,4.94,N,VIIRS,D,0.2751698535340515,Moderate
31.81005,73.2523,2025-11-02,70,4.91,N,VIIRS,D,0.3921264318481804,Moderate
31.82032,73.48457,2025-11-02,70,2.41,N,VIIRS,D,0.5000386165938496,High
31.8255,73.45155,2025-11-02,70,5.29,N,VIIRS,D,0.3956060039492438,Moderate
31.8271,73.64371,2025-11-02,70,4.14,N,VIIRS,D,0.4547320743419394,High
31.83211,73.45122,2025-11-02,70,5.29,N,VIIRS,D,0.44249136632080516,High
31.83377,73.64338,2025-11-02,70,3.46,N,VIIRS,D,0.3986519045349371,Moderate
31.84388,73.72402,2025-11-02,70,7.63,N,VIIRS,D,0.42787607654114806,Moderate
31.85058,73.7237,2025-11-02,70,9.8,N,VIIRS,D,0.2993771649114612,Moderate
31.86028,73.21628,2025-11-02,70,10.01,N,VIIRS,D,0.3825791973169793,Moderate
31.86054,73.2226,2025-11-02,70,12.71,N,VIIRS,D,0.3568979946453787,Moderate
31.8608,73.21797,2025-11-02,100,16.73,N,VIIRS,D,0.399076971240419,Moderate
31.88473,74.05595,2025-11-02,70,7.0,N,VIIRS,D,0.36704737861955766,Moderate
31.89933,73.686,2025-11-02,70,10.11,N,VIIRS,D,0.521814338724416,High
31.90263,73.68734,2025-11-02,100,36.65,N,VIIRS,D,0.58470908496806,High
31.90575,73.6789,2025-11-02,70,10.11,N,VIIRS,D,0.49855740682939576,High
31.90602,73.68568,2025-11-02,100,10.11,N,VIIRS,D,0.4847023604930601,High
31.90902,73.68026,2025-11-02,70,15.2,N,VIIRS,D,0.4076169626131901,Moderate
31.95044,73.37533,2025-11-02,70,8.52,N,VIIRS,D,0.27115832078699603,Moderate
